filename,station_name,n_years,completeness,longitude,latitude,country
champerico-670a-gtm-uhslc_rq,champerico,5,0.8908,-91.917,14.3,GTM
champlain-3350-can-meds,champlain,35,0.9323,-72.34,46.44,CAN
chance-8571351-usa-noaa,chance,1,0.9197,-75.945,38.1717,USA
change_islands-1052-can-meds,change_islands,1,0.1068,-54.42,49.67,CAN
chankliut_island-9458849-usa-noaa,chankliut_island,3,0.6115,-158.107,56.1467,USA
chappaquoit_point-8447685-usa-noaa,chappaquoit_point,3,0.8188,-70.6517,41.605,USA
charchanga-138a-bgd-uhslc_rq,charchanga,21,1.0008,91.05,22.217,BGD
charles_river_new_charles_river_dam_at_boston_ma-1104715-usa-usgs,charles_river_new_charles_river_dam_at_boston_ma,9,1.8898,-71.0616667,42.36888889,USA
charleston-8665530-usa-noaa,charleston,109,0.9859,-79.923611,32.780833,USA
charleston-9432780-usa-noaa,charleston_v2,54,0.9805,-124.322,43.345,USA
charleston-chst-nzl-ttw,charleston_v3,10,0.9473,171.43388889,-41.90333333,NZL
charleston_or-575a-usa-uhslc_rq,charleston_or,50,1.0372,-124.322,43.345,USA
charleston_sc-261-usa-uhslc_fd,charleston_sc,105,0.9887,-79.933,32.783,USA
charleston_sc-261a-usa-uhslc_rq,charleston_sc_v2,3,0.9998,-79.925,32.782,USA
charleston_sc-261b-usa-uhslc_rq,charleston_sc_v3,101,0.9933,-79.925,32.782,USA
charlotte_amalie-255a-usa-uhslc_rq,charlotte_amalie,44,0.9837,-64.92,18.335,USA
charlotte_amalie-9751639-usa-noaa,charlotte_amalie_v2,49,0.9492,-64.925833,18.347222,USA
charlottetown-1008-can-meds,charlottetown,1,0.1429,-54.02,48.43,CAN
charlottetown-1700-can-meds,charlottetown_v2,106,0.8899,-63.12,46.23,CAN
chassahowitzka_r_at_dog_isl_nr_chassahowitzka_fl-2310673-usa-usgs,chassahowitzka_r_at_dog_isl_nr_chassahowitzka_fl,19,0.926,-82.6247222,28.70263889,USA
chassahowitzka_r_at_mouth_nr_chassahowitzka_fl-2310674-usa-usgs,chassahowitzka_r_at_mouth_nr_chassahowitzka_fl,19,0.9259,-82.6389891,28.69470935,USA
chassahowitzka_river_near_chassahowitzka_fl-2310663-usa-usgs,chassahowitzka_river_near_chassahowitzka_fl,15,1.173,-82.6062107,28.71526404,USA
chassahowitzka_river_near_homosassa_fl-2310650-usa-usgs,chassahowitzka_river_near_homosassa_fl,16,1.0979,-82.5767656,28.71526419,USA
chatham-079-nzl-uhslc_fd,chatham,16,0.9458,-176.562,-43.947,NZL
chatham-079a-nzl-uhslc_rq,chatham_v2,19,0.9875,-176.562,-43.947,NZL
chatham-2035-can-meds,chatham_v3,2,0.2467,-65.47,47.03,CAN
chatham-8447435-usa-noaa,chatham_v4,16,0.9377,-69.95083,41.688056,USA
chatham-8447505-usa-noaa,chatham_v5,1,0.7631,-69.9667,41.6667,USA
chatham_pt_bc-8180-can-meds,chatham_pt_bc,2,0.4602,-125.44,50.33,CAN
chatham_river_near_the_watson_place_fl-2290888-usa-usgs,chatham_river_near_the_watson_place_fl,19,0.926,-81.2497222,25.70916667,USA
cheesequake_creek-8531223-usa-noaa,cheesequake_creek,3,0.6339,-74.2733,40.4533,USA
chehalis_river_near_montesano_wa-12035100-usa-usgs,chehalis_river_near_montesano_wa,18,0.9775,-123.6046072,46.96231778,USA
chelsea-8443725-usa-noaa,chelsea,1,0.7478,-71.0233,42.3867,USA
chemainus_bc-7455-can-meds,chemainus_bc,1,0.0926,-123.71,48.93,CAN
cheniere_caminada-8761826-usa-noaa,cheniere_caminada,3,0.6965,-90.04,29.21,USA
cherbourg-13-fra-refmar,cherbourg,55,0.9229,-1.635508,49.651447,FRA
cherbourgtg_60minute-che-fra-cmems,cherbourgtg_60minute,55,0.9215,-1.6355,49.651299,FRA
cherry_point-9449424-usa-noaa,cherry_point,55,0.9861,-122.758,48.8633,USA
ches_bay_at_mouth_of_susq_r_at_havre_de_grace_md-1580620-usa-usgs,ches_bay_at_mouth_of_susq_r_at_havre_de_grace_md,14,0.8937,-76.0895833,39.53775,USA
chesapeake_bay_bridge_tunnel-8638863-usa-noaa,chesapeake_bay_bridge_tunnel,43,0.9947,-76.1133,36.9667,USA
chesapeake_bbt-749a-usa-uhslc_rq,chesapeake_bbt,42,0.9988,-76.113,36.967,USA
chesapeake_city-8573927-usa-noaa,chesapeake_city,36,0.9679,-75.81,39.526667,USA
chesapeake_light-8638979-usa-noaa,chesapeake_light,1,0.8328,-75.6967,36.905,USA
chesnuknuw_cr_bc-8562-can-meds,chesnuknuw_cr_bc,1,0.2603,-124.84,49.04,CAN
chester-8638491-usa-noaa,chester,1,0.3314,-77.3783,37.3833,USA
chesterfield_inlet-5140-can-meds,chesterfield_inlet,3,0.0721,-90.7,63.33,CAN
chesterfield_inlet_inside-5143-can-meds,chesterfield_inlet_inside,2,0.0973,-90.68,63.33,CAN
cheticamp-1539-can-meds,cheticamp,1,0.0795,-61.02,46.63,CAN
chezzetcook_inlet-493-can-meds,chezzetcook_inlet,1,0.0796,-63.23,44.78,CAN
chiba-hd06-jpn-jodc_jcg,chiba,61,0.9817,140.04555,35.56805,JPN
chichijima-047-jpn-uhslc_fd,chichijima,51,0.9844,142.183,27.1,JPN
chichijima-047a-jpn-uhslc_rq,chichijima_v2,49,0.9957,142.183,27.1,JPN
chickasaw_creek-8737138-usa-noaa,chickasaw_creek,15,0.9671,-88.07361,30.7819,USA
chicoutimi-3480-can-meds,chicoutimi,13,0.5138,-71.05,48.43,CAN
chignik-9458917-usa-noaa,chignik,2,0.6213,-158.4,56.2967,USA
chilkat_inlet-9452421-usa-noaa,chilkat_inlet,1,0.471,-135.4,59.17,USA
chincoteague-8630249-usa-noaa,chincoteague,4,0.7371,-75.3833,37.9317,USA
chincoteague_bay_inlet_at_chincoteague_va-1484746-usa-usgs,chincoteague_bay_inlet_at_chincoteague_va,12,1.0431,-75.40788889,37.90238889,USA
chinook_bend-9435992-usa-noaa,chinook_bend,1,0.7906,-123.9636,44.88,USA
chinulna_point-9455735-usa-noaa,chinulna_point,1,0.5526,-151.283,60.5033,USA
chirikof_island-9458293-usa-noaa,chirikof_island,1,0.6769,-155.74,55.8083,USA
chittagong-124-bgd-uhslc_fd,chittagong,19,0.9592,91.827,22.237,BGD
chittagong-124a-bgd-uhslc_rq,chittagong_v2,12,0.9537,91.825,22.247,BGD
chofu-9004-jpn-jodc_pahb,chofu,13,1.0006,131.00428333,34.01408333,JPN
choshigyoko-ma64-jpn-jodc_jma,choshigyoko,51,0.9434,140.85833333,35.74445,JPN
chowiet_island-9458519-usa-noaa,chowiet_island,1,0.6076,-156.698,56.0517,USA
christiansted_harbor-9751364-usa-noaa,christiansted_harbor,20,0.9629,-64.69839,17.747694,USA
christiansted_vi-258a-usa-uhslc_rq,christiansted_vi,17,0.9918,-64.705,17.75,USA
christina_river_at_newport_de-1480065-usa-usgs,christina_river_at_newport_de,9,1.9549,-75.6087222,39.71063889,USA
christina_river_at_wilmington_de-1480120-usa-usgs,christina_river_at_wilmington_de,11,1.5994,-75.5405556,39.7360833,USA
christmas-011-kir-uhslc_fd,christmas,14,6.4378,-157.472,1.982,KIR
christmas-011a-kir-uhslc_rq,christmas_v2,18,0.9081,-157.477,1.985,KIR
christmas-011b-aus-uhslc_rq,christmas_v3,45,0.9984,-157.472,1.982,AUS
christmas-170-aus-uhslc_fd,christmas_v4,14,6.4378,105.667,-10.417,AUS
christmas-170a-kir-uhslc_rq,christmas_v5,20,1.764,105.667,-10.417,KIR
churchill-274-can-uhslc_fd,churchill,64,0.972,-94.2,58.783,CAN
churchill-274a-can-uhslc_rq,churchill_v2,58,0.9863,-94.183,58.767,CAN
churchill-5010-can-meds,churchill_v3,86,0.911,-94.18,58.77,CAN
churchill_bay-5011-can-meds,churchill_bay,1,0.0849,-94.17,58.77,CAN
chuuk-054-fsm-uhslc_fd,chuuk,4,0.8746,151.898,7.453,FSM
chuuk-054a-fsm-uhslc_rq,chuuk_v2,45,0.984,151.85,7.45,FSM
chuuk-1840000-usa-noaa,chuuk_v3,21,0.9225,151.847,7.44667,USA
ciboure-6270-fra-refmar,ciboure,5,0.8718,-1.66271366,43.38916196,FRA
cibouretg_60minute-cib-fra-cmems,cibouretg_60minute,2,0.8933,-1.66271,43.38916,FRA
cilacap-162a-idn-uhslc_rq,cilacap,21,0.953,109.017,-7.752,IDN
cilicap-162-idn-uhslc_fd,cilicap,8,0.9068,109.017,-7.752,IDN
cilicap-162b-idn-uhslc_rq,cilicap_v2,11,0.9454,109.017,-7.752,IDN
cilicap-162c-idn-uhslc_rq,cilicap_v3,1,0.7529,109.017,-7.752,IDN
ciudad_del_carmen-403-mex-unam_hist,ciudad_del_carmen,22,0.9247,-91.83666667,18.63666667,MEX
ciudad_del_carmen-779a-mex-uhslc_rq,ciudad_del_carmen_v2,35,1.0006,-91.833,18.533,MEX
ciudadcarmen_radar-4-mex-unam,ciudadcarmen_radar,4,23.7275,-91.83666667,18.63666667,MEX
civitavecchia-civ-ita-ispra,civitavecchia,46,3.6795,11.78964722,42.09395833,ITA
clambank_creek_dock-8662299-usa-noaa,clambank_creek_dock,2,0.7256,-79.1933,33.3333,USA
clapboard_creek-8720198-usa-noaa,clapboard_creek,2,0.5427,-81.51,30.4067,USA
clapboard_creek_nr_jacksonville_fl-2246825-usa-usgs,clapboard_creek_nr_jacksonville_fl,11,0.872,-81.5182611,30.44838056,USA
clarendon_plantation-8667633-usa-noaa,clarendon_plantation,6,0.9925,-80.7841,32.5025,USA
clarks_harbour-405-can-meds,clarks_harbour,3,0.1709,-65.63,43.45,CAN
clarks_point-9465261-usa-noaa,clarks_point,1,0.6462,-158.552,58.8483,USA
claxton_bc-9260-can-meds,claxton_bc,2,0.0694,-130.09,54.08,CAN
clear_ck_nr_friendswood_tx-8077600-usa-usgs,clear_ck_nr_friendswood_tx,19,0.926,-95.178544,29.51745517,USA
clear_creek_bay_area_boulevard-cle-usa-hct,clear_creek_bay_area_boulevard,16,0.9322,-95.1958,29.4974,USA
clear_creek_fm_2351-cle-usa-hct,clear_creek_fm_2351,12,0.9469,-95.1967,29.5424,USA
clear_creek_i45-cle-usa-hct,clear_creek_i45,29,0.9872,-95.1166,29.5083,USA
clear_lake-8770933-usa-noaa,clear_lake,1,1.0027,-95.0667,29.5633,USA
clear_lk_second_outflow_channel_at_kemah_tx-8077637-usa-usgs,clear_lk_second_outflow_channel_at_kemah_tx,19,0.926,-95.0257616,29.5543963,USA
clear_passage_bc-9220-can-meds,clear_passage_bc,1,0.3114,-129.96,53.55,CAN
clearwater_bch_fl-773a-usa-uhslc_rq,clearwater_bch_fl,26,1.0007,-82.832,27.977,USA
clearwater_beach-8726724-usa-noaa,clearwater_beach,52,0.9707,-82.831694,27.978306,USA
cleveland_oh-9063063-usa-noaa,cleveland_oh,56,0.9917,-81.635472,41.54086,USA
cliff_aos_wharf-8573137-usa-noaa,cliff_aos_wharf,1,0.6457,-76.1383,39.11,USA
clifton_court_intake-b95339-usa-cdwr,clifton_court_intake,6,0.8633,-121.556333,37.830042,USA
clinton_harbor-8463701-usa-noaa,clinton_harbor,1,0.6769,-72.5317,41.2683,USA
clipperton-391c-fra-uhslc_rq,clipperton,2,0.5674,-109.222,10.28,FRA
clipperton-391d-fra-uhslc_rq,clipperton_v2,2,0.5844,-109.222,10.28,FRA
clipperton-797-fra-refmar,clipperton_v3,4,0.5761,-109.204,10.288167,FRA
clover_point_bc-7115-can-meds,clover_point_bc,1,0.6438,-123.35,48.4,CAN
clump_point-59168-aus-bom,clump_point,38,0.9545,146.1053,-17.8515,AUS
clyde_river-3940-can-meds,clyde_river,1,0.1041,-68.59,70.46,CAN
coal_point-9455558-usa-noaa,coal_point,1,0.9369,-151.410599,59.601398,USA
coast_guard_sector_mobile-8736897-usa-noaa,coast_guard_sector_mobile,19,0.9742,-88.058306,30.648306,USA
coates_point-8533055-usa-noaa,coates_point,2,0.9169,-74.115,39.9483,USA
coats_island-3504-can-meds,coats_island,1,0.1587,-81.35,62.45,CAN
coats_island-64492-can-meds,coats_island_v2,1,0.1583,-81.37,62.45,CAN
coatzacoalcos-405-mex-unam_hist,coatzacoalcos,32,0.9539,-94.41166667,18.14333333,MEX
cobourg_ontario-13590-can-meds,cobourg_ontario,64,0.9814,-78.16,43.96,CAN
cochin-174-ind-uhslc_fd,cochin,15,0.9163,76.267,9.967,IND
cochino_pequeno-269a-hnd-uhslc_rq,cochino_pequeno,2,0.5849,-86.5,15.953,HND
cochino_pequeno-9653601-usa-noaa,cochino_pequeno_v2,2,0.7493,-86.5,15.9533,USA
cochrane_bay-9454851-usa-noaa,cochrane_bay,1,0.7834,-148.357,60.6633,USA
cockrobin_island_bridge-9418637-usa-noaa,cockrobin_island_bridge,1,0.7992,-124.282204,40.637199,USA
cocoa_beach-8721649-usa-noaa,cocoa_beach,3,1.0009,-80.6,28.3683,USA
cocoa_beach_fl-754a-usa-uhslc_rq,cocoa_beach_fl,3,0.7366,-80.6,28.368,USA
cocodrie-8762928-usa-noaa,cocodrie,7,0.8558,-90.6617,29.245,USA
cocohatchee_river_coco1_t-coco1-usa-sfwmd,cocohatchee_river_coco1_t,31,0.9681,-81.78,26.2725,USA
coconut_point-8725319-usa-noaa,coconut_point,1,0.5183,-81.8433,26.4,USA
cocos-171-aus-uhslc_fd,cocos,41,0.9634,96.9,-12.117,AUS
cocos-171a-aus-uhslc_rq,cocos_v2,37,0.9752,96.892,-12.117,AUS
cocos_island-392-cri-uhslc_fd,cocos_island,8,0.909,-87.048,5.557,CRI
coe_mississippi_river_at_bonnet_carre_spillway-7374370-usa-usgs,coe_mississippi_river_at_bonnet_carre_spillway,2,0.3307,-90.4431385,29.9988147,USA
coe_mississippi_river_at_new_orleans_la-7374510-usa-usgs,coe_mississippi_river_at_new_orleans_la,2,0.3307,-90.13618489,29.9349269,USA
coe_mississippi_river_at_venice_la-7374550-usa-usgs,coe_mississippi_river_at_venice_la,2,0.3307,-89.3500536,29.2741095,USA
coffin_point-8410714-usa-noaa,coffin_point,1,0.8333,-67.1083,44.87,USA
coffins_point-8-can-meds,coffins_point,1,0.1159,-67.13,44.87,CAN
coffs_harbour-205470-aus-bom,coffs_harbour,28,3.5944,153.1460611,-30.30285837,AUS
cohansey_river_at_greenwich_nj-1413038-usa-usgs,cohansey_river_at_greenwich_nj,24,1.0428,-75.35027778,39.3836111,USA
colborne_ontario-13640-can-meds,colborne_ontario,1,0.5912,-77.88,43.97,CAN
colbourn_creek-8571181-usa-noaa,colbourn_creek,1,0.9155,-75.8033,38.0483,USA
cold_bay-9459949-usa-noaa,cold_bay,1,0.7289,-162.698,55.2083,USA
cold_springs_harbor-8516061-usa-noaa,cold_springs_harbor,1,0.692,-73.47,40.8733,USA
cole_harbour-492-can-meds,cole_harbour,2,0.204,-63.45,44.67,CAN
colijnsplaat-colpt-nld-rws_hist,colijnsplaat,26,0.6274,3.85938,51.60088,NLD
college_pt-8517276-usa-noaa,college_pt,1,0.4973,-73.8567,40.7833,USA
colleton_river_at_bluffton_sc-21765795-usa-usgs,colleton_river_at_bluffton_sc,2,0.6306,-80.813975,32.2878722,USA
collingwood_ontario-11500-can-meds,collingwood_ontario,65,0.9668,-80.22,44.51,CAN
colombo-115-lka-uhslc_fd,colombo,9,0.9435,79.858,6.963,LKA
colombo-115a-lka-uhslc_rq,colombo_v2,13,1.0006,79.85,6.933,LKA
colombo-115b-lka-uhslc_rq,colombo_v3,4,0.7817,79.853,6.948,LKA
colombo-115c-lka-uhslc_rq,colombo_v4,11,0.952,79.858,6.935,LKA
colombo-115d-lka-uhslc_rq,colombo_v5,1,0.6669,79.85,6.942,LKA
colonia_sant_pere-col-esp-cmems,colonia_sant_pere,6,3.6635,3.27335,39.737301,ESP
colonial_beach-8635150-usa-noaa,colonial_beach,36,0.9801,-76.96,38.2517,USA
colorado_rv_at_wharton_tx-8162000-usa-usgs,colorado_rv_at_wharton_tx,19,0.9259,-96.1038482,29.30913668,USA
colorado_rv_nr_bay_city_tx-8162500-usa-usgs,colorado_rv_nr_bay_city_tx,19,0.926,-96.0124588,28.9741462,USA
colorado_rv_nr_wadsworth_tx-8162501-usa-usgs,colorado_rv_nr_wadsworth_tx,10,0.8594,-95.9975,28.77416667,USA
columbia_glacier-9454460-usa-noaa,columbia_glacier,1,0.7557,-147.085,61.0233,USA
columbia_river_at_port_westward_near_quincy_or-14246900-usa-usgs,columbia_river_at_port_westward_near_quincy_or,35,0.9775,-123.1834539,46.18122136,USA
columbia_river_at_vancouver_wa-14144700-usa-usgs,columbia_river_at_vancouver_wa,28,0.9767,-122.6734306,45.62067265,USA
columbia_slough_at_portland_or-14211820-usa-usgs,columbia_slough_at_portland_or,31,0.979,-122.763155,45.63900515,USA
combahee_river_near_greenpond_sc-2176150-usa-usgs,combahee_river_near_greenpond_sc,4,0.6125,-80.6831613,32.65240388,USA
combahee_river_near_yemassee_sc-2176000-usa-usgs,combahee_river_near_yemassee_sc,5,0.7278,-80.826218,32.707122,USA
come_by_chance-815-can-meds,come_by_chance,1,0.2493,-54.02,47.82,CAN
comox_bc-7965-can-meds,comox_bc,9,0.6757,-124.93,49.67,CAN
composite_island-9452682-usa-noaa,composite_island,1,0.8489,-136.573,58.8883,USA
concarneau-160-fra-refmar,concarneau,27,0.9505,-3.907207,47.873549,FRA
concarneautg_60minute-con-fra-cmems,concarneautg_60minute,27,0.9321,-3.9075999,47.873798,FRA
conimicut_light-8452944-usa-noaa,conimicut_light,27,0.9789,-71.343333,41.716667,USA
connecticut_river_at_essex_ct-1194750-usa-usgs,connecticut_river_at_essex_ct,16,0.9501,-72.3843667,41.3514833,USA
connecticut_river_at_hartford_ct-1190070-usa-usgs,connecticut_river_at_hartford_ct,20,0.9297,-72.66755,41.76909444,USA
connecticut_river_at_middle_haddam_ct-1193050-usa-usgs,connecticut_river_at_middle_haddam_ct,18,0.9119,-72.5531454,41.5417656,USA
connecticut_river_at_old_lyme_ct-1194796-usa-usgs,connecticut_river_at_old_lyme_ct,25,0.9439,-72.3459005,41.31248747,USA
connecticut_river_nr_boat_house_at_middletown_ct-11929115-usa-usgs,connecticut_river_nr_boat_house_at_middletown_ct,1,0.165,-72.64405,41.559875,USA
connecticut_river_nr_bridge_st_nr_old_saybrook_ct-1194815-usa-usgs,connecticut_river_nr_bridge_st_nr_old_saybrook_ct,9,0.8986,-72.34927778,41.2813333,USA
constable_hook_upper_bay-8530985-usa-noaa,constable_hook_upper_bay,1,0.385,-74.085,40.655,USA
contrecoeur-15790-can-meds,contrecoeur,28,0.8851,-73.24,45.86,CAN
contrecoeur_ioc-15780-can-meds,contrecoeur_ioc,34,0.8974,-73.28,45.83,CAN
cooktown-58940-aus-bom,cooktown,36,0.826,145.25,-15.4667,AUS
cooktown-h066003a-aus-bom,cooktown_v2,24,5.6611,145.25,-15.45,AUS
cooley_creek_lake_erie_oh-9063091-usa-noaa,cooley_creek_lake_erie_oh,1,0.7768,-83.284167,41.673,USA
cooper_r_at_customs_house_aux_at_charleston_sc-21720710-usa-usgs,cooper_r_at_customs_house_aux_at_charleston_sc,39,0.9824,-79.9236667,32.78075,USA
cooper_r_at_filbin_creek_at_north_charleston_sc-21720677-usa-usgs,cooper_r_at_filbin_creek_at_north_charleston_sc,29,0.9688,-79.9628645,32.89045228,USA
cooper_r_at_mobay_nr_n_charleston_sc-2172053-usa-usgs,cooper_r_at_mobay_nr_n_charleston_sc,40,0.9652,-79.9228612,32.9835058,USA
cooper_r_at_ports_authority_pier_k_charleston_sc-217206935-usa-usgs,cooper_r_at_ports_authority_pier_k_charleston_sc,10,0.8841,-79.9526667,32.85569444,USA
cooper_r_nr_goose_creek_sc-2172050-usa-usgs,cooper_r_nr_goose_creek_sc,40,0.9652,-79.9357778,33.05766667,USA
cooper_river_above_goose_creek_sc-21720508-usa-usgs,cooper_river_above_goose_creek_sc,10,0.8914,-79.90675,33.01577778,USA
cooper_river_at_customs_house_at_charleston_sc-21720711-usa-usgs,cooper_river_at_customs_house_at_charleston_sc,37,0.978,-79.92375,32.7807222,USA
cooper_river_at_east_state_street_at_camden_nj-1467194-usa-usgs,cooper_river_at_east_state_street_at_camden_nj,5,0.7202,-75.1105556,39.95138889,USA
cooper_river_at_us_hwy_17_at_charleston_sc-21720709-usa-usgs,cooper_river_at_us_hwy_17_at_charleston_sc,28,1.0005,-79.9100869,32.80239835,USA
coosawhatchie_river_at_i95_near_ridgeland_sc-21765182-usa-usgs,coosawhatchie_river_at_i95_near_ridgeland_sc,5,0.7276,-80.9234722,32.5883611,USA
copano_bay-8774513-usa-noaa,copano_bay,3,0.9219,-97.0244,28.114,USA
copp_island-8714-can-meds,copp_island,1,0.3232,-127.19,50.05,CAN
copper_islands_bc-9724-can-meds,copper_islands_bc,3,0.2607,-131.18,52.36,CAN
coquille_river-9432436-usa-noaa,coquille_river,1,0.7967,-124.181801,43.157902,USA
coquille_river_at_coquille_or-14327055-usa-usgs,coquille_river_at_coquille_or,14,0.8994,-124.1817944,43.15794167,USA
coral_harbour-5180-can-meds,coral_harbour,1,0.1248,-83.26,64.13,CAN
cordemais-397-fra-refmar,cordemais,36,0.9319,-1.8898,47.277217,FRA
cordemaistg_60minute-cor-fra-cmems,cordemaistg_60minute,37,0.9067,-1.8898,47.277222,FRA
cordova-9454050-usa-noaa,cordova,48,0.9468,-145.755,60.5583,USA
cordova_alaska-583a-usa-uhslc_rq,cordova_alaska,5,0.7597,-145.753,60.558,USA
cordova_alaska-583b-usa-uhslc_rq,cordova_alaska_v2,55,0.7823,-145.753,60.558,USA
core_creek_bridge-8656084-usa-noaa,core_creek_bridge,1,0.6925,-76.69,34.825,USA
core_sound-8656201-usa-noaa,core_sound,1,0.5855,-76.455472,34.79675,USA
corinto-679a-nic-uhslc_rq,corinto,1,0.9993,-87.117,12.283,NIC
corinto-679b-nic-uhslc_rq,corinto_v2,1,0.5014,-87.168,12.478,NIC
corner_brook-2680-can-meds,corner_brook,2,0.1008,-57.95,48.95,CAN
cornet_bay-7193-can-meds,cornet_bay,1,0.3273,-122.63,48.38,CAN
cornwall_ontario-14870-can-meds,cornwall_ontario,65,0.9596,-74.71,45.01,CAN
corpus_cristi_tx-770a-usa-uhslc_rq,corpus_cristi_tx,39,0.9772,-97.217,27.58,USA
corte_madera_creek-9414874-usa-noaa,corte_madera_creek,3,0.7547,-122.513,37.9433,USA
coruna-coru-esp-ieo,coruna,74,1.1498,-8.3977,43.3683,ESP
coruna2tg-cor-esp-cmems,coruna2tg,6,0.6928,-8.3989,43.364399,ESP
corunatg-cor-esp-cmems,corunatg,34,0.9477,-8.3889999,43.356998,ESP
cote_ste_catherine-15450-can-meds,cote_ste_catherine,37,0.9446,-73.57,45.41,CAN
coteau_du_lac-15140-can-meds,coteau_du_lac,37,0.944,-74.17,45.3,CAN
coteau_landing-15110-can-meds,coteau_landing,38,0.911,-74.21,45.25,CAN
cove_point-8577188-usa-noaa,cove_point,1,0.9174,-76.3983,38.3917,USA
cove_point-9452346-usa-noaa,cove_point_v2,2,0.4463,-135.028,58.7517,USA
cow_bayou_at_american_bay_nr_pointe_a_la_hache_la-73745258-usa-usgs,cow_bayou_at_american_bay_nr_pointe_a_la_hache_la,19,0.926,-89.7039524,29.57076989,USA
cow_bayou_at_fm_1442_nr_orangefield_tx-8031010-usa-usgs,cow_bayou_at_fm_1442_nr_orangefield_tx,8,0.7955,-93.8963417,30.1079861,USA
cow_bayou_at_sh_87_nr_bridge_city_tx-8031050-usa-usgs,cow_bayou_at_sh_87_nr_bridge_city_tx,7,0.8894,-93.8214944,30.04455278,USA
cowichan_bay_bc-7310-can-meds,cowichan_bay_bc,1,0.1059,-123.62,48.74,CAN
coxs_bazaar-136a-bgd-uhslc_rq,coxs_bazaar,30,1.0006,91.833,21.45,BGD
coyote_c_ab_hwy_237_a_milpitas_ca-11172175-usa-usgs,coyote_c_ab_hwy_237_a_milpitas_ca,19,0.926,-121.9274577,37.4221617,USA
coyote_c_nr_alviso_ca-372750122012701-usa-usgs,coyote_c_nr_alviso_ca,7,0.8409,-122.0241556,37.46385278,USA
coyote_creek-9414575-usa-noaa,coyote_creek,10,0.8377,-122.023,37.465,USA
coyote_creek_tam_valley-coy-usa-cm,coyote_creek_tam_valley,4,0.8001,-122.52337,37.87955,USA
coyote_hills_slough-9414621-usa-noaa,coyote_hills_slough,2,0.6415,-122.128,37.5633,USA
crab_creek_near_homosassa_fl-2310652-usa-usgs,crab_creek_near_homosassa_fl,2,0.1882,-82.5764056,28.71665556,USA
crabtree_swamp_at_conway_sc-2110701-usa-usgs,crabtree_swamp_at_conway_sc,12,0.9426,-79.0411471,33.86100349,USA
craig-9450551-usa-noaa,craig,1,0.5017,-133.142,55.4883,USA
crandall-8720004-usa-noaa,crandall,1,0.4314,-81.6217,30.7217,USA
cranz-5950070-deu-wsv,cranz,26,0.9505,9.79152582,53.53593513,DEU
crater_bay-9455159-usa-noaa,crater_bay,1,0.8602,-149.787,59.7133,USA
crawford_crk_04_mi_ups_of_chass_nr_homosassafl-2310667-usa-usgs,crawford_crk_04_mi_ups_of_chass_nr_homosassafl,1,0.297,-82.6083611,28.70023333,USA
crescent_bay_wa-7050-can-meds,crescent_bay_wa,1,0.0795,-123.73,48.16,CAN
crescent_beach-8720651-usa-noaa,crescent_beach,4,0.6458,-81.2583,29.7683,USA
crescent_city-8720855-usa-noaa,crescent_city,2,0.6295,-81.5067,29.43,USA
crescent_city-9419750-usa-noaa,crescent_city_v2,90,0.9824,-124.18439,41.74561,USA
crescent_city_ca-556-usa-uhslc_fd,crescent_city_ca,90,1.0254,-124.183,41.745,USA
crescent_city_ca-556a-usa-uhslc_rq,crescent_city_ca_v2,86,1.0324,-124.183,41.745,USA
crewboat_channel_at_wax_lake_outlet_nr_calumet_la-73815925-usa-usgs,crewboat_channel_at_wax_lake_outlet_nr_calumet_la,11,0.9094,-91.4355556,29.54,USA
crisfield-8571091-usa-noaa,crisfield,1,0.8013,-75.8633,37.9767,USA
crispen_island-8676808-usa-noaa,crispen_island,1,0.4842,-81.55,31.2133,USA
cristobal-266-pan-uhslc_fd,cristobal,102,0.7031,-79.9,9.35,PAN
cristobal-266a-pan-uhslc_rq,cristobal_v2,105,0.6908,-79.915,9.355,PAN
crms0002-crms0002-usa-crms,crms0002,19,0.9273,-89.79173,30.10025,USA
crms0003-crms0003-usa-crms,crms0003,19,0.9233,-89.25275,30.09937,USA
crms0006-crms0006-usa-crms,crms0006,19,0.9231,-89.97923,30.25993,USA
crms0008-crms0008-usa-crms,crms0008,18,1.0098,-90.68443,30.23072,USA
crms0030-crms0030-usa-crms,crms0030,19,0.9508,-90.32942,30.30482,USA
crms0033-crms0033-usa-crms,crms0033,19,0.9507,-90.3855,30.27445,USA
crms0034-crms0034-usa-crms,crms0034,19,0.9508,-90.3855,30.30348,USA
crms0035-crms0035-usa-crms,crms0035,13,1.3589,-89.66476,30.26712,USA
crms0038-crms0038-usa-crms,crms0038,18,0.9834,-90.6817,30.21616,USA
crms0039-crms0039-usa-crms,crms0039,19,0.9239,-90.68731,30.10738,USA
crms0046-crms0046-usa-crms,crms0046,19,0.9282,-90.49934,30.40488,USA
crms0047-crms0047-usa-crms,crms0047,19,0.9377,-90.53371,30.13298,USA
crms0056-crms0056-usa-crms,crms0056,19,0.931,-90.44297,30.12919,USA
crms0058-crms0058-usa-crms,crms0058,18,0.9915,-90.53726,30.16549,USA
crms0059-crms0059-usa-crms,crms0059,19,0.948,-90.53906,30.09295,USA
crms0061-crms0061-usa-crms,crms0061,17,1.0903,-90.63992,30.22322,USA
crms0063-crms0063-usa-crms,crms0063,19,0.9347,-90.64094,30.1321,USA
